Time,Data,FinalFit
1,35.114,34.7046666666667
2,34.543,34.7046666666667
3,35.686,34.7046666666667
4,35,34.7046666666667
5,38.114,34.7046666666667
6,34.771,34.7046666666667
7,28.171,34.7046666666667
8,34.143,34.7046666666667
9,36.8,34.7046666666667
10,47.457,44.6666666666667
11,42.114,44.6666666666667
12,44.429,44.6666666666667
13,29.886,29.7166666666667
14,26.914,29.7166666666667
15,27.543,29.7166666666667
16,30.486,29.7166666666667
17,31.914,29.7166666666667
18,28.971,29.7166666666667
19,34.314,29.7166666666667
20,31.429,29.7166666666667
21,30.914,29.7166666666667
22,25.171,29.7166666666667
23,29.229,29.7166666666667
24,29.829,29.7166666666667
25,36.143,35.286
26,34.429,35.286
27,41.886,48.34325
28,50.229,48.34325
29,54.629,48.34325
30,46.629,48.34325
31,41.657,43.193
32,43.143,43.193
33,45.343,43.193
34,42.629,43.193
35,38.571,36.7333333333333
36,37.943,36.7333333333333
37,36.4,36.7333333333333
38,37.143,36.7333333333333
39,37.2,36.7333333333333
40,33.143,36.7333333333333
41,23.314,23.2785
42,21.6,23.2785
43,23.286,23.2785
44,24.914,23.2785
45,27.057,27.7465
46,27.857,27.7465
47,28.829,27.7465
48,31.943,27.7465
49,28.143,27.7465
50,25.486,27.7465
51,22.686,27.7465
52,29.971,27.7465
53,40.629,43.8715
54,47.114,43.8715
55,54.457,49.638
56,49.943,49.638
57,47.657,49.638
58,43.371,49.638
59,54.229,49.638
60,48.171,49.638
61,40.771,41.7958571428571
62,36.914,41.7958571428571
63,40.829,41.7958571428571
64,43.971,41.7958571428571
65,49.057,41.7958571428571
66,47.2,41.7958571428571
67,33.829,41.7958571428571
68,25.029,24.8286666666667
69,24.657,24.8286666666667
70,24.8,24.8286666666667
71,34,33.8715
72,33.743,33.8715
73,29.429,27.1308571428571
74,21.371,27.1308571428571
75,28.343,27.1308571428571
76,30.029,27.1308571428571
77,28.086,27.1308571428571
78,29.229,27.1308571428571
79,23.429,27.1308571428571
80,30.343,31.70725
81,34.8,31.70725
82,30.629,31.70725
83,31.057,31.70725
84,38.4,38.6145
85,38.829,38.6145
86,29.686,29.7905
87,31.514,29.7905
88,27.943,29.7905
89,24.857,29.7905
90,29.229,29.7905
91,33.457,29.7905
92,29.543,29.7905
93,28.4,29.7905
94,27.343,29.7905
95,31.343,29.7905
96,33.171,29.7905
97,31,29.7905
98,23.857,22.3715
99,20.886,22.3715
100,35.286,37.838
101,41.057,37.838
102,37.171,37.838
103,26.171,27.1584545454545
104,31.143,27.1584545454545
105,28.114,27.1584545454545
106,27.686,27.1584545454545
107,23.486,27.1584545454545
108,22.086,27.1584545454545
109,27.371,27.1584545454545
110,31.486,27.1584545454545
111,26.4,27.1584545454545
112,26.286,27.1584545454545
113,28.514,27.1584545454545
114,33.857,34.8
115,35.743,34.8
116,46.714,49.43575
117,48.029,49.43575
118,53.971,49.43575
119,49.029,49.43575
120,45.343,43.5
121,45.429,43.5
122,46.457,43.5
123,36.771,43.5
124,28.714,26.37125
125,24.257,26.37125
126,25.257,26.37125
127,27.257,26.37125
128,33.914,30.8727272727273
129,32.371,30.8727272727273
130,30.457,30.8727272727273
131,27.429,30.8727272727273
132,31.229,30.8727272727273
133,29.143,30.8727272727273
134,32.257,30.8727272727273
135,28.771,30.8727272727273
136,29.2,30.8727272727273
137,31.543,30.8727272727273
138,33.286,30.8727272727273
139,26.714,23.7399
140,26.2,23.7399
141,24.8,23.7399
142,22.4,23.7399
143,20.943,23.7399
144,27.314,23.7399
145,24.771,23.7399
146,23.314,23.7399
147,19.343,23.7399
148,21.6,23.7399
149,25.943,27.6638461538462
150,26.943,27.6638461538462
151,26.886,27.6638461538462
152,27.2,27.6638461538462
153,30.086,27.6638461538462
154,29.8,27.6638461538462
155,33.114,27.6638461538462
156,27.886,27.6638461538462
157,26.943,27.6638461538462
158,27.686,27.6638461538462
159,27.171,27.6638461538462
160,22.743,27.6638461538462
161,27.229,27.6638461538462
162,34.571,30.2523888888889
163,31.171,30.2523888888889
164,28.143,30.2523888888889
165,30.429,30.2523888888889
166,34.486,30.2523888888889
167,29.486,30.2523888888889
168,27.743,30.2523888888889
169,31.457,30.2523888888889
170,34.057,30.2523888888889
171,31.629,30.2523888888889
172,25.086,30.2523888888889
173,24.2,30.2523888888889
174,29.371,30.2523888888889
175,36.314,30.2523888888889
176,30.6,30.2523888888889
177,28.514,30.2523888888889
178,29.343,30.2523888888889
179,27.943,30.2523888888889
180,18.4,22.957
181,27.514,22.957
182,41.771,48.9258
183,50.343,48.9258
184,49.429,48.9258
185,55.543,48.9258
186,47.543,48.9258
187,35.657,31.9922666666667
188,28.571,31.9922666666667
189,29.2,31.9922666666667
190,29.714,31.9922666666667
191,31.8,31.9922666666667
192,31.171,31.9922666666667
193,29,31.9922666666667
194,33.457,31.9922666666667
195,33.914,31.9922666666667
196,36.457,31.9922666666667
197,35.343,31.9922666666667
198,33.057,31.9922666666667
199,27.743,31.9922666666667
200,30.286,31.9922666666667
201,34.514,31.9922666666667
202,28.714,26.9340769230769
203,25.829,26.9340769230769
204,23.171,26.9340769230769
205,25.286,26.9340769230769
206,23.543,26.9340769230769
207,26.2,26.9340769230769
208,30.457,26.9340769230769
209,32.143,26.9340769230769
210,30.143,26.9340769230769
211,25.371,26.9340769230769
212,21.629,26.9340769230769
213,25.657,26.9340769230769
214,32,26.9340769230769
215,43.8,40.581
216,40.657,40.581
217,37.286,40.581
218,31.914,31.8425
219,31.771,31.8425
220,27.143,27.2856666666667
221,29.486,27.2856666666667
222,27.143,27.2856666666667
223,25,27.2856666666667
224,27.171,27.2856666666667
225,27.771,27.2856666666667
226,20.486,21.943
227,20.629,21.943
228,24.714,21.943
229,29.371,29.8855
230,30.4,29.8855
231,35.257,33.2198125
232,33.229,33.2198125
233,32.6,33.2198125
234,29,33.2198125
235,30.743,33.2198125
236,32.543,33.2198125
237,35.343,33.2198125
238,30.343,33.2198125
239,32.943,33.2198125
240,35.8,33.2198125
241,33.629,33.2198125
242,27.829,33.2198125
243,34.229,33.2198125
244,39.429,33.2198125
245,37.571,33.2198125
246,31.029,33.2198125
247,26.457,26.5958571428571
248,21.286,26.5958571428571
249,27.057,26.5958571428571
250,29.886,26.5958571428571
251,26.914,26.5958571428571
252,25.6,26.5958571428571
253,28.971,26.5958571428571
254,36.114,39.257
255,42.4,39.257
256,47.371,44.9425
257,42.514,44.9425
258,57.171,64.0114
259,68.229,64.0114
260,73.029,64.0114
261,61.171,64.0114
262,60.457,64.0114
263,67.714,68.857
264,72.343,68.857
265,66.514,68.857
266,51.371,44.9314
267,44.943,44.9314
268,39.886,44.9314
269,42.286,44.9314
270,46.171,44.9314
271,49.2,50.5021428571429
272,48.743,50.5021428571429
273,50.886,50.5021428571429
274,51.286,50.5021428571429
275,55.543,50.5021428571429
276,47.114,50.5021428571429
277,50.743,50.5021428571429
278,55.286,61.3049166666667
279,72.629,61.3049166666667
280,63,61.3049166666667
281,53.429,61.3049166666667
282,51.543,61.3049166666667
283,68.343,61.3049166666667
284,65.657,61.3049166666667
285,60.143,61.3049166666667
286,55.6,61.3049166666667
287,61.714,61.3049166666667
288,65.229,61.3049166666667
289,63.086,61.3049166666667
290,49.429,48.619
291,45.714,48.619
292,50.714,48.619
293,60.943,55.566
294,53.229,55.566
295,47.086,55.566
296,55.286,55.566
297,61.286,55.566
298,45.114,37.743
299,31.686,37.743
300,36.429,37.743
301,46.114,49.1484
302,51.057,49.1484
303,57.314,49.1484
304,50.371,49.1484
305,40.886,49.1484
306,30.257,35.58575
307,35.086,35.58575
308,41.714,35.58575
309,35.286,35.58575
310,26.429,26.5420606060606
311,26.143,26.5420606060606
312,23.829,26.5420606060606
313,25.343,26.5420606060606
314,30.086,26.5420606060606
315,32.257,26.5420606060606
316,22.314,26.5420606060606
317,22.057,26.5420606060606
318,25.114,26.5420606060606
319,27.257,26.5420606060606
320,25.429,26.5420606060606
321,21.2,26.5420606060606
322,20.914,26.5420606060606
323,28.6,26.5420606060606
324,31.429,26.5420606060606
325,27.743,26.5420606060606
326,21.143,26.5420606060606
327,24.086,26.5420606060606
328,29.571,26.5420606060606
329,33.257,26.5420606060606
330,29.886,26.5420606060606
331,29.229,26.5420606060606
332,26.086,26.5420606060606
333,21.143,26.5420606060606
334,19.971,26.5420606060606
335,29.514,26.5420606060606
336,30.486,26.5420606060606
337,27.343,26.5420606060606
338,28.857,26.5420606060606
339,33,26.5420606060606
340,27.829,26.5420606060606
341,21.4,26.5420606060606
342,26.943,26.5420606060606
343,33.886,35.7658
344,36.086,35.7658
345,36.829,35.7658
346,39.057,35.7658
347,32.971,35.7658
348,22.943,23.305
349,21.486,23.305
350,25.486,23.305
351,28.543,30.9796428571429
352,29.343,30.9796428571429
353,32.657,30.9796428571429
354,29.657,30.9796428571429
355,37.543,30.9796428571429
356,36.486,30.9796428571429
357,34.771,30.9796428571429
358,26.257,30.9796428571429
359,27.829,30.9796428571429
360,26.257,30.9796428571429
361,29.686,30.9796428571429
362,30.543,30.9796428571429
363,31.543,30.9796428571429
364,32.6,30.9796428571429
365,38.143,40.2538888888889
366,39.571,40.2538888888889
367,37.543,40.2538888888889
368,37.743,40.2538888888889
369,47.771,40.2538888888889
370,48.257,40.2538888888889
371,37.257,40.2538888888889
372,36.629,40.2538888888889
373,39.371,40.2538888888889
374,35.257,32.0668333333333
375,30.629,32.0668333333333
376,32.286,32.0668333333333
377,30.629,32.0668333333333
378,32.029,32.0668333333333
379,31.571,32.0668333333333
380,25.886,26.4365714285714
381,21.771,26.4365714285714
382,28.371,26.4365714285714
383,28.086,26.4365714285714
384,23.314,26.4365714285714
385,23.571,26.4365714285714
386,34.057,26.4365714285714
387,37.971,35.8514
388,35.943,35.8514
389,34.514,35.8514
390,34.8,35.8514
391,36.029,35.8514
392,39.686,40.225125
393,40.657,40.225125
394,44.257,40.225125
395,38.486,40.225125
396,37.943,40.225125
397,37,40.225125
398,45.429,40.225125
399,38.343,40.225125
400,36.057,33.1551428571429
401,31.543,33.1551428571429
402,32.714,33.1551428571429
403,32.314,33.1551428571429
404,34.943,33.1551428571429
405,31.686,33.1551428571429
406,32.829,33.1551428571429
407,37.914,38.214
408,38.514,38.214
409,30.914,27.7374375
410,23.657,27.7374375
411,25.943,27.7374375
412,26.8,27.7374375
413,31.314,27.7374375
414,28.543,27.7374375
415,26.429,27.7374375
416,21.514,27.7374375
417,27.257,27.7374375
418,28.486,27.7374375
419,27.771,27.7374375
420,33.629,27.7374375
421,31.4,27.7374375
422,31.143,27.7374375
423,24.457,27.7374375
424,26.257,27.7374375
425,21.486,27.7374375
426,24.057,27.7374375
427,23.571,27.7374375
428,26.714,27.7374375
429,30.743,27.7374375
430,30.257,27.7374375
431,27.057,27.7374375
432,27.4,27.7374375
433,31.057,27.7374375
434,27.286,27.7374375
435,29.371,27.7374375
436,31.629,27.7374375
437,35.171,27.7374375
438,24.371,27.7374375
439,23.971,27.7374375
440,27.943,27.7374375
441,33.029,34.592
442,34.429,34.592
443,36.029,34.592
444,33.686,34.592
445,35.371,34.592
446,34.743,34.592
447,34.857,34.592
448,28.571,29.7151818181818
449,29.2,29.7151818181818
450,27.829,29.7151818181818
451,31.371,29.7151818181818
452,29.543,29.7151818181818
453,30.429,29.7151818181818
454,30.857,29.7151818181818
455,33.4,29.7151818181818
456,28.971,29.7151818181818
457,26.6,29.7151818181818
458,23.143,29.7151818181818
459,23.457,29.7151818181818
460,28.086,29.7151818181818
461,30.171,29.7151818181818
462,30.429,29.7151818181818
463,32.229,29.7151818181818
464,30.486,29.7151818181818
465,26.886,29.7151818181818
466,28.371,29.7151818181818
