IndexStep,TimeStep,LevelBefore,LevelAfter,StepSize,DwellTimeStepBefore,DwellTimeStepAfter,StepError
9,9,34.7046666666667,44.6666666666667,9.962,8,3,2.54170330028244
12,12,44.6666666666667,29.7166666666667,-14.95,3,12,2.40229516306907
24,24,29.7166666666667,35.286,5.56933333333334,12,2,1.56644049624709
26,26,35.286,48.34325,13.05725,2,4,4.01071117446769
30,30,48.34325,43.193,-5.15025,4,4,3.97919231230828
34,34,43.193,36.7333333333333,-6.45966666666666,4,6,1.55956193279466
40,40,36.7333333333333,23.2785,-13.4548333333333,6,4,1.45971158871272
44,44,23.2785,27.7465,4.468,4,8,1.69801025713431
52,52,27.7465,43.8715,16.125,8,2,4.79533747508974
54,54,43.8715,49.638,5.76650000000001,2,6,5.19717226640282
60,60,49.638,41.7958571428571,-7.84214285714286,6,7,3.78965645670738
67,67,41.7958571428571,24.8286666666667,-16.9671904761905,7,3,2.89861758120766
70,70,24.8286666666667,33.8715,9.04283333333333,3,2,0.237696000994733
72,72,33.8715,27.1308571428571,-6.74064285714286,2,7,1.79996956795892
79,79,27.1308571428571,31.70725,4.57639285714286,7,4,2.31850973772196
83,83,31.70725,38.6145,6.90725,4,2,1.50354313484294
85,85,38.6145,29.7905,-8.824,2,12,1.05781247980171
97,97,29.7905,22.3715,-7.419,12,2,2.3324594835547
99,99,22.3715,37.838,15.4665,2,3,3.19164615311075
102,102,37.838,27.1584545454545,-10.6795454545455,3,11,2.68575932514756
113,113,27.1584545454545,34.8,7.64154545454545,11,2,1.79405030195656
115,115,34.8,49.43575,14.63575,2,4,2.60741873475154
119,119,49.43575,43.5,-5.93575,4,4,3.90003817823193
123,123,43.5,26.37125,-17.12875,4,4,3.49107473303948
127,127,26.37125,30.8727272727273,4.50147727272727,4,11,1.66192079665861
138,138,30.8727272727273,23.7399,-7.13282727272727,11,10,1.47553503909213
148,148,23.7399,27.6638461538462,3.92394615384616,10,13,1.51843007228891
161,161,27.6638461538462,30.2523888888889,2.58854273504273,13,18,1.43115225101777
179,179,30.2523888888889,22.957,-7.29538888888889,18,2,6.5335845641361
181,181,22.957,48.9258,25.9688,2,5,7.17270716535953
186,186,48.9258,31.9922666666667,-16.9335333333333,5,15,3.31568713173537
201,201,31.9922666666667,26.9340769230769,-5.05818974358975,15,13,1.6989970224405
214,214,26.9340769230769,40.581,13.6469230769231,13,3,2.98042957866358
217,217,40.581,31.8425,-8.73849999999999,3,2,2.66179359956152
219,219,31.8425,27.2856666666667,-4.55683333333333,2,6,0.836999037567481
225,225,27.2856666666667,21.943,-5.34266666666667,6,3,2.12907763023229
228,228,21.943,29.8855,7.9425,3,2,2.09094456326959
230,230,29.8855,33.2198125,3.3343125,2,16,1.30548701141726
246,246,33.2198125,26.5958571428571,-6.62395535714286,16,7,1.83430536266724
253,253,26.5958571428571,39.257,12.6611428571429,7,2,4.68473033658615
255,255,39.257,44.9425,5.6855,2,2,5.61712760225366
257,257,44.9425,64.0114,19.0689,2,5,5.33432477638923
262,262,64.0114,68.857,4.8456,5,3,4.79331767359519
265,265,68.857,44.9314,-23.9256,3,5,3.72317570361647
270,270,44.9314,50.5021428571429,5.57074285714286,5,7,3.09349877875354
277,277,50.5021428571429,61.3049166666667,10.8027738095238,7,12,2.9627498273654
289,289,61.3049166666667,48.619,-12.6859166666667,12,3,3.35392424363919
292,292,48.619,55.566,6.947,3,5,4.28984923589008
297,297,55.566,37.743,-17.823,5,3,6.69501693799202
300,300,37.743,49.1484,11.4054,3,5,6.77082701890988
305,305,49.1484,35.58575,-13.56265,5,4,5.09680036673336
309,309,35.58575,26.5420606060606,-9.0436893939394,4,33,3.45426144308659
342,342,26.5420606060606,35.7658,9.2237393939394,33,5,1.79567038703136
347,347,35.7658,23.305,-12.4608,5,3,2.25236234799525
350,350,23.305,30.9796428571429,7.67464285714286,3,14,2.11981826372434
364,364,30.9796428571429,40.2538888888889,9.27424603174603,14,9,2.50247067833184
373,373,40.2538888888889,32.0668333333333,-8.18705555555557,9,6,2.33981465368098
379,379,32.0668333333333,26.4365714285714,-5.6302619047619,6,7,2.43990915210414
386,386,26.4365714285714,35.8514,9.41482857142857,7,5,2.39207325730198
391,391,35.8514,40.225125,4.373725,5,8,1.7605273868422
399,399,40.225125,33.1551428571429,-7.06998214285714,8,7,1.78453108437874
406,406,33.1551428571429,38.214,5.05885714285714,7,2,1.00387560548731
408,408,38.214,27.7374375,-10.4765625,2,32,0.946467890363915
440,440,27.7374375,34.592,6.8545625,32,7,1.00207025742872
447,447,34.592,29.7151818181818,-4.87681818181819,7,33,0.798423480837122
480,480,29.7151818181818,24.043,-5.67218181818181,33,2,1.08445134580521
482,482,24.043,42.219,18.176,2,3,2.38127752827483
485,485,42.219,29.542875,-12.676125,3,8,2.81515015802042
493,493,29.542875,36.143,6.600125,8,4,3.09140481747954
497,497,36.143,42.457,6.31399999999999,4,2,2.64644856364147
499,499,42.457,48.0048333333333,5.54783333333334,2,6,1.44278796856025
505,505,48.0048333333333,36.45025,-11.5545833333333,6,4,1.42553437251517
509,509,36.45025,25.3906666666667,-11.0595833333333,4,3,1.76638369195999
512,512,25.3906666666667,33.4575,8.06683333333333,3,2,1.64317762954046
514,514,33.4575,37.5325714285714,4.07507142857143,2,7,0.988656043378506
